numeric-3-box-multiple-outline	&#xF3FF;
numeric-3-box-outline	&#xF400;
numeric-4-box	&#xF401;
numeric-4-box-multiple-outline	&#xF402;
numeric-4-box-outline	&#xF403;
numeric-5-box	&#xF404;
numeric-5-box-multiple-outline	&#xF405;
numeric-5-box-outline	&#xF406;
numeric-6-box	&#xF407;
numeric-6-box-multiple-outline	&#xF408;
numeric-6-box-outline	&#xF409;
numeric-7-box	&#xF40A;
numeric-7-box-multiple-outline	&#xF40B;
numeric-7-box-outline	&#xF40C;
numeric-8-box	&#xF40D;
numeric-8-box-multiple-outline	&#xF40E;
numeric-8-box-outline	&#xF40F;
numeric-9-box	&#xF410;
numeric-9-box-multiple-outline	&#xF411;
numeric-9-box-outline	&#xF412;
numeric-9-plus-box	&#xF413;
numeric-9-plus-box-multiple-outline	&#xF414;
numeric-9-plus-box-outline	&#xF415;
nutriton	&#xF416;
office	&#xF417;
oil	&#xF418;
omega	&#xF419;
onedrive	&#xF41A;
open-in-app	&#xF41B;
open-in-new	&#xF41C;
ornament	&#xF41D;
ornament-variant	&#xF41E;
outbox	&#xF41F;
package	&#xF420;
package-down	&#xF421;
package-up	&#xF422;
package-variant	&#xF423;
package-variant-closed	&#xF424;
palette	&#xF425;
palette-advanced	&#xF426;
panda	&#xF427;
pandora	&#xF428;
panorama	&#xF429;
panorama-fisheye	&#xF42A;
panorama-horizontal	&#xF42B;
panorama-vertical	&#xF42C;
panorama-wide-angle	&#xF42D;
paper-cut-vertical	&#xF42E;
paperclip	&#xF42F;
parking	&#xF430;
pause	&#xF431;
pause-circle	&#xF432;
pause-circle-outline	&#xF433;
pause-octagon	&#xF434;
pause-octagon-outline	&#xF435;
pen	&#xF436;
pencil	&#xF437;
pencil-box	&#xF438;
pencil-box-outline	&#xF439;
pharmacy	&#xF43A;
phone	&#xF43B;
phone-bluetooth	&#xF43C;
phone-forward	&#xF43D;
phone-hangup	&#xF43E;
phone-in-talk	&#xF43F;
phone-locked	&#xF440;
phone-missed	&#xF441;
phone-paused	&#xF442;
phone-settings	&#xF443;
pig	&#xF444;
pill	&#xF445;
pin	&#xF446;
pin-off	&#xF447;
pine-tree	&#xF448;
pine-tree-box	&#xF449;
pinterest	&#xF44A;
pinterest-box	&#xF44B;
pizza	&#xF44C;
play	&#xF44D;
play-box-outline	&#xF44E;
play-circle	&#xF44F;
play-circle-outline	&#xF450;
playlist-minus	&#xF451;
playlist-plus	&#xF452;
playstation	&#xF453;
plus	&#xF454;
plus-box	&#xF455;
plus-circle	&#xF456;
plus-circle-outline	&#xF457;
plus-network	&#xF458;
plus-one	&#xF459;
pocket	&#xF45A;
poll	&#xF45B;
poll-box	&#xF45C;
polymer	&#xF45D;
popcorn	&#xF45E;
pound	&#xF45F;
pound-box	&#xF460;
power	&#xF461;
power-settings	&#xF462;
presentation	&#xF463;
presentation-play	&#xF464;
printer	&#xF465;
printer-3d	&#xF466;
pulse	&#xF467;
puzzle	&#xF468;
qrcode	&#xF469;
quadcopter	&#xF46A;
quality-high	&#xF46B;
quicktime	&#xF46C;
radiator	&#xF46D;
radio	&#xF46E;
radio-tower	&#xF46F;
radioactive	&#xF470;
radiobox-blank	&#xF471;
radiobox-marked	&#xF472;
raspberrypi	&#xF473;
rdio	&#xF474;
read	&#xF475;
readability	&#xF476;
receipt	&#xF477;
recycle	&#xF478;
redo	&#xF479;
redo-variant	&#xF47A;
refresh	&#xF47B;
relative-scale	&#xF47C;
reload	&#xF47D;
remote	&#xF47E;
rename-box	&#xF47F;
repeat	&#xF480;
repeat-off	&#xF481;
repeat-once	&#xF482;
replay	&#xF483;
reply	&#xF484;
reply-all	&#xF485;
reproduction	&#xF486;
resize-bottom-right	&#xF487;
responsive	&#xF488;
rewind	&#xF489;
ribbon	&#xF48A;
rocket	&#xF48B;
rotate-3d	&#xF48C;
rotate-left	&#xF48D;
rotate-left-variant	&#xF48E;
rotate-right	&#xF48F;
rotate-right-variant	&#xF490;
routes	&#xF491;
rss	&#xF492;
rss-box	&#xF493;
ruler	&#xF494;
run	&#xF495;
satellite	&#xF496;
satellite-variant	&#xF497;
scale	&#xF498;
scale-bathroom	&#xF499;
school	&#xF49A;
screen-rotation	&#xF49B;
screen-rotation-lock	&#xF49C;
script	&#xF49D;
sd	&#xF49E;
security	&#xF49F;
security-network	&#xF4A0;
select	&#xF4A1;
select-all	&#xF4A2;
select-inverse	&#xF4A3;
select-off	&#xF4A4;
send	&#xF4A5;
server	&#xF4A6;
server-minus	&#xF4A7;
server-network	&#xF4A8;
server-network-off	&#xF4A9;
server-off	&#xF4AA;
server-plus	&#xF4AB;
server-remove	&#xF4AC;
server-security	&#xF4AD;
settings	&#xF4AE;
settings-box	&#xF4AF;
shape-plus	&#xF4B0;
share	&#xF4B1;
share-variant	&#xF4B2;
shield	&#xF4B3;
shield-outline	&#xF4B4;
shopping	&#xF4B5;
shopping-music	&#xF4B6;
shuffle	&#xF4B7;
sigma	&#xF4B8;
sign-caution	&#xF4B9;
silverware	&#xF4BA;
silverware-fork	&#xF4BB;
silverware-spoon	&#xF4BC;
silverware-variant	&#xF4BD;
sim-alert	&#xF4BE;
skip-next	&#xF4BF;
skip-previous	&#xF4C0;
snapchat	&#xF4C1;
snowman	&#xF4C2;
sort	&#xF4C3;
sort-alphabetical	&#xF4C4;
sort-ascending	&#xF4C5;
sort-descending	&#xF4C6;
sort-numeric	&#xF4C7;
sort-variant	&#xF4C8;
soundcloud	&#xF4C9;
source-fork	&#xF4CA;
source-pull	&#xF4CB;
speaker	&#xF4CC;
speaker-off	&#xF4CD;
speedometer	&#xF4CE;
spellcheck	&#xF4CF;
spotify	&#xF4D0;
spotlight	&#xF4D1;
spotlight-beam	&#xF4D2;
stackoverflow	&#xF4D3;
star	&#xF4D4;
star-circle	&#xF4D5;
star-half	&#xF4D6;
star-outline	&#xF4D7;
stocking	&#xF4D8;
stop	&#xF4D9;
store	&#xF4DA;
store-24-hour	&#xF4DB;
stove	&#xF4DC;
subway	&#xF4DD;
swap-horizontal	&#xF4DE;
swap-vertical	&#xF4DF;
swim	&#xF4E0;
sword	&#xF4E1;
sync	&#xF4E2;
sync-alert	&#xF4E3;
sync-off	&#xF4E4;
tab	&#xF4E5;
tab-unselected	&#xF4E6;
table	&#xF4E7;
table-column-plus-after	&#xF4E8;
table-column-plus-before	&#xF4E9;
table-column-remove	&#xF4EA;
table-column-width	&#xF4EB;
table-edit	&#xF4EC;
table-large	&#xF4ED;
table-row-height	&#xF4EE;
table-row-plus-after	&#xF4EF;
table-row-plus-before	&#xF4F0;
table-row-remove	&#xF4F1;
tablet	&#xF4F2;
tablet-android	&#xF4F3;
